author,video_count,median_engagement_rate,median_views,max_views,median_efficiency,author_verified,confidence,already_large_reach,segment,promising_score
valeriecosplays,1,0.15548672566371682,11300.0,11300,1.3759887226877595e-05,False,low,False,Rising,0.062194690265486734
maazsafder,1,0.15515176262420036,734700.0,734700,2.1117702820770432e-07,False,low,False,Rising,0.06206070504968014
dirtybirdfitness,1,0.15483965014577258,102900.0,102900,1.5047585048180037e-06,False,low,False,Rising,0.061935860058309034
jackabaasnl,2,0.07741882896764253,567700.0,1100000,9.716573808387603e-07,False,medium,False,Other,0.06193506317411403
oliviagracehenry,1,0.15469465648854963,26200.0,26200,5.904376201853039e-06,False,low,False,Rising,0.06187786259541986
evan_holmes_,19,0.06160958904109589,35100.0,111900,1.8757534488930216e-06,False,high,False,Other,0.06160958904109589
trexchars,1,0.15392836510687463,173100.0,173100,8.892453212413324e-07,False,low,False,Rising,0.06157134604274986
luana.noor,1,0.15382059800664452,30100.0,30100,5.1103188706526415e-06,False,low,False,Rising,0.06152823920265781
majuel20,1,0.15325146198830408,85500.0,85500,1.7924147600971237e-06,False,low,False,Rising,0.06130058479532163
jess.thebest,1,0.15253948967193195,82300.0,82300,1.8534567396346532e-06,False,low,False,Rising,0.06101579586877279
curlsnclouds,1,0.15249617151607964,65300.0,65300,2.335316562267682e-06,False,low,False,Rising,0.060998468606431856
kauanmaia30,1,0.1523809523809524,52500.0,52500,2.90249433106576e-06,False,low,False,Rising,0.06095238095238096
wajidkhan2025,2,0.07617730095990966,25350.0,27600,3.048637239894943e-06,False,medium,False,Other,0.060941840767927725
atgullett,1,0.15202,2200000.0,2200000,6.909999999999999e-08,False,low,False,Rising,0.060808
f1_flat_out,2,0.0759811856932876,169800.0,292500,9.164868827147528e-07,False,medium,False,Other,0.06078494855463008
eddygee,1,0.1517765273311897,124400.0,124400,1.2200685476783738e-06,False,low,False,Rising,0.060710610932475886
ernie.senpai,1,0.1517181956411556,197300.0,197300,7.689721015770684e-07,False,low,False,Rising,0.060687278256462245
classicmadii,1,0.15043715846994535,54900.0,54900,2.7402032508186766e-06,False,low,False,Rising,0.060174863387978145
moonlightblossom,1,0.149215965787598,140300.0,140300,1.0635492928552957e-06,False,low,False,Rising,0.0596863863150392
unbekhannt0,1,0.14913167259786478,140500.0,140500,1.061435392155621e-06,False,low,False,Rising,0.059652669039145914
glenfontein,1,0.2126207605344296,194600.0,194600,1.0926041137432148e-06,True,low,False,Proven,0.05953381294964029
ronanvanderloo,1,0.14883193277310924,119000.0,119000,1.250688510698397e-06,False,low,False,Rising,0.0595327731092437
connectedequestrian,1,0.1476306620209059,28700.0,28700,5.14392550595491e-06,False,low,False,Rising,0.05905226480836237
josh_senpai_,1,0.14741666666666667,24000.0,24000,6.142361111111111e-06,False,low,False,Rising,0.05896666666666667
tuzelitydance,2,0.10417404761904762,1800000.0,2100000,5.924891156462585e-08,True,medium,False,Proven,0.05833746666666667
tessscholten,2,0.07289643563133186,150950.0,245100,4.7303442667114074e-07,False,medium,False,Other,0.05831714850506549
vrouwenmethumor,1,0.14467973856209151,76500.0,76500,1.8912384125763598e-06,False,low,False,Rising,0.05787189542483661
safae.kx,1,0.14383656509695292,72200.0,72200,1.9921961924785723e-06,False,low,False,Rising,0.05753462603878117
theglobewanderers,1,0.14318251299296852,654200.0,654200,2.1886657443131845e-07,False,low,False,Rising,0.057273005197187414
jibrankoko7,1,0.1429889298892989,1084.0,1084,0.00013190860690894733,False,low,False,Rising,0.05719557195571956
americainperdu,1,0.142008547008547,23400.0,23400,6.0687413251515815e-06,False,low,False,Rising,0.056803418803418805
juliagetsfit,1,0.1411212814645309,87400.0,87400,1.614659970990056e-06,False,low,False,Rising,0.05644851258581236
martijn.schilder,2,0.07048648314014752,1394900.0,2600000,2.721380616527186e-07,False,medium,False,Other,0.05638918651211802
skittlestheyorkie,1,0.14044444444444446,58500.0,58500,2.4007597340930675e-06,False,low,False,Rising,0.056177777777777785
eloine242,1,0.14032325338894683,95900.0,95900,1.4632247485813016e-06,False,low,False,Rising,0.05612930135557873
naomivaneeren,1,0.13951527924130663,94900.0,94900,1.4701293913730942e-06,False,low,False,Rising,0.05580611169652266
theduckoftiktok,1,0.13925636007827788,51100.0,51100,2.725173387050448e-06,False,low,False,Rising,0.055702544031311155
gaaf_in,1,0.13921225382932167,45700.0,45700,3.0462199962652444e-06,False,low,False,Rising,0.05568490153172867
quirky_equestrian_,1,0.1388,1100000.0,1100000,1.2618181818181818e-07,False,low,False,Rising,0.05552000000000001
esmeejoanna,2,0.06932685332946467,146550.0,226000,5.292062244217518e-07,False,medium,False,Other,0.05546148266357174
spooksahoy,1,0.13846715328467155,54800.0,54800,2.52677287015824e-06,False,low,False,Rising,0.05538686131386862
thescoreesports,1,0.19624172185430463,60400.0,60400,3.249035130038156e-06,True,low,False,Proven,0.0549476821192053
tharusha_shamal,1,0.13623711340206185,19400.0,19400,7.022531618662982e-06,False,low,False,Rising,0.054494845360824745
_ylvax,2,0.06797914007069102,48950.0,58600,1.3856645793366207e-06,False,medium,False,Other,0.054383312056552814
arnold.balde,1,0.13567816091954024,43500.0,43500,3.1190381820583965e-06,False,low,False,Rising,0.0542712643678161
ebonyalicia,1,0.13510019392372333,9282.0,9282,1.4555073682797169e-05,False,low,False,Rising,0.054040077569489336
nezuko_._._chan,1,0.1350371807306822,309300.0,309300,4.3658965641992303e-07,False,low,False,Rising,0.05401487229227288
monomezurashi,1,0.1343227815256876,192700.0,192700,6.970564687373513e-07,False,low,False,Rising,0.05372911261027505
mamagum,1,0.13432160804020102,99500.0,99500,1.349965909951769e-06,False,low,False,Rising,0.05372864321608041
ashmezz,1,0.13421137882162382,493900.0,493900,2.7173796076457544e-07,False,low,False,Rising,0.05368455152864953
elliedixonmusic,1,0.1337475345167653,50700.0,50700,2.6380184322833392e-06,False,low,False,Rising,0.053499013806706124
nipuna610,1,0.1332075471698113,10600.0,10600,1.2566749733001067e-05,False,low,False,Rising,0.053283018867924525
noahaltink,2,0.06655414915222217,83800.0,136600,1.484313842609086e-06,False,medium,False,Other,0.05324331932177774
pandaboy790,1,0.13296137339055794,23300.0,23300,5.7064967120411136e-06,False,low,False,Rising,0.05318454935622318
chathuuu98,1,0.13279982697090947,9247.0,9247,1.4361395800898612e-05,False,low,False,Rising,0.053119930788363794
stephaniemorattoofficial,1,0.13171471927162368,197700.0,197700,6.662353023349705e-07,False,low,False,Rising,0.05268588770864947
ceciliamaria5677,1,0.13098230088495574,791000.0,791000,1.655907722945079e-07,False,low,False,Rising,0.0523929203539823
arc_revenger_,1,0.13096875,32000.0,32000,4.0927734374999994e-06,False,low,False,Rising,0.052387500000000004
gloryxv_uk,2,0.06540083458466628,73700.0,115600,1.5231123962970906e-06,False,medium,False,Other,0.05232066766773302
littletfitness,1,0.13058355437665783,188500.0,188500,6.927509516003068e-07,False,low,False,Rising,0.05223342175066314
jordystormyt,1,0.1305612770339856,194200.0,194200,6.723031773119752e-07,False,low,False,Rising,0.05222451081359424
supjillez,1,0.13032751091703057,45800.0,45800,2.8455788409832e-06,False,low,False,Rising,0.05213100436681223
milenaaxoxoo,2,0.06464663775786755,59350.0,79000,1.1759257411149694e-06,False,medium,False,Other,0.05171731020629405
dineshbandara08,1,0.12894017094017093,58500.0,58500,2.204105486156768e-06,False,low,False,Rising,0.051576068376068374
cuakun.to,1,0.12862659011595182,888300.0,888300,1.4480084443988723e-07,False,low,False,Rising,0.05145063604638073
missblondy1982,1,0.128538125,1600000.0,1600000,8.0336328125e-08,False,low,False,Rising,0.05141525
roblox_trollingexploits,1,0.1282439024390244,61500.0,61500,2.0852667063255998e-06,False,low,False,Rising,0.05129756097560976
joeyvandenhoek,1,0.12695652173913044,34500.0,34500,3.6798991808443607e-06,False,low,False,Rising,0.05078260869565218
muzamiltalpur7,1,0.12658474741564268,5127.0,5127,2.468982785559639e-05,False,low,False,Rising,0.05063389896625708
snubbyj,1,0.12630312635066993,694100.0,694100,1.819667574566632e-07,False,low,False,Rising,0.05052125054026797
kellanandkevin,1,0.12583454545454545,1100000.0,1100000,1.1439504132231404e-07,False,low,False,Rising,0.05033381818181818
justinvanr,1,0.1257505285412262,47300.0,47300,2.6585735420978054e-06,False,low,False,Rising,0.050300211416490485
dewi_dik41,1,0.1255026455026455,170100.0,170100,7.378168459885098e-07,False,low,False,Rising,0.050201058201058205
everyprofilenameistaken,2,0.0626506546184739,674300.0,1000000,1.1574490194628196e-07,False,medium,False,Other,0.05012052369477912
shotgod68,2,0.06253233588052785,71000.0,71400,8.776496962877129e-07,False,medium,False,Other,0.050025868704422286
taylorlegit,1,0.12477124183006535,61200.0,61200,2.0387457815370155e-06,False,low,False,Rising,0.049908496732026145
